date,location,new_cases,new_deaths,total_cases,total_deaths
1/26/2020,Canada,1,0,1,0
1/27/2020,Canada,0,0,1,0
1/28/2020,Canada,1,0,2,0
1/29/2020,Canada,1,0,3,0
1/30/2020,Canada,0,0,3,0
1/31/2020,Canada,0,0,3,0
2/1/2020,Canada,1,0,4,0
2/2/2020,Canada,0,0,4,0
2/3/2020,Canada,0,0,4,0
2/4/2020,Canada,0,0,4,0
2/5/2020,Canada,1,0,5,0
2/6/2020,Canada,0,0,5,0
2/7/2020,Canada,2,0,7,0
2/8/2020,Canada,0,0,7,0
2/9/2020,Canada,0,0,7,0
2/10/2020,Canada,0,0,7,0
2/11/2020,Canada,0,0,7,0
2/12/2020,Canada,0,0,7,0
2/13/2020,Canada,0,0,7,0
2/14/2020,Canada,0,0,7,0
2/15/2020,Canada,1,0,8,0
2/16/2020,Canada,0,0,8,0
2/17/2020,Canada,0,0,8,0
2/18/2020,Canada,0,0,8,0
2/19/2020,Canada,0,0,8,0
2/20/2020,Canada,0,0,8,0
2/21/2020,Canada,1,0,9,0
2/22/2020,Canada,0,0,9,0
2/23/2020,Canada,0,0,9,0
2/24/2020,Canada,0,0,9,0
2/25/2020,Canada,2,0,11,0
2/26/2020,Canada,0,0,11,0
2/27/2020,Canada,1,0,12,0
2/28/2020,Canada,2,0,14,0
2/29/2020,Canada,2,0,16,0
3/1/2020,Canada,4,0,20,0
3/2/2020,Canada,4,0,24,0
3/3/2020,Canada,3,0,27,0
3/4/2020,Canada,3,0,30,0
3/5/2020,Canada,3,0,33,0
3/6/2020,Canada,12,0,45,0
3/7/2020,Canada,6,0,51,0
3/8/2020,Canada,6,0,57,0
3/9/2020,Canada,5,0,62,0
3/10/2020,Canada,15,1,77,1
3/11/2020,Canada,16,0,93,1
3/12/2020,Canada,10,0,103,1
3/13/2020,Canada,35,0,138,1
3/14/2020,Canada,38,0,176,1
3/15/2020,Canada,68,0,244,1
3/16/2020,Canada,60,0,304,1
3/17/2020,Canada,120,3,424,4
3/18/2020,Canada,145,4,569,8
3/19/2020,Canada,121,1,690,9
3/20/2020,Canada,156,1,846,10
3/21/2020,Canada,125,2,971,12
3/22/2020,Canada,331,6,1302,18
3/23/2020,Canada,128,2,1430,20
3/24/2020,Canada,216,4,1646,24
3/25/2020,Canada,313,3,1959,27
3/26/2020,Canada,1426,8,3385,35
3/27/2020,Canada,633,4,4018,39
3/28/2020,Canada,657,14,4675,53
3/29/2020,Canada,711,7,5386,60
3/30/2020,Canada,869,1,6255,61
3/31/2020,Canada,1169,28,7424,89
4/1/2020,Canada,1112,7,8536,96
4/2/2020,Canada,1059,13,9595,109
4/3/2020,Canada,1673,29,11268,138
4/4/2020,Canada,1251,49,12519,187
4/5/2020,Canada,1363,44,13882,231
4/6/2020,Canada,1614,49,15496,280
4/7/2020,Canada,1157,43,16653,323
4/8/2020,Canada,1230,57,17883,380
4/9/2020,Canada,1391,55,19274,435
4/10/2020,Canada,1474,74,20748,509
4/11/2020,Canada,1385,60,22133,569
4/12/2020,Canada,1168,84,23301,653
4/13/2020,Canada,1064,64,24365,717
4/14/2020,Canada,1298,63,25663,780
4/15/2020,Canada,1383,123,27046,903
4/16/2020,Canada,1318,107,28364,1010
4/17/2020,Canada,1717,183,30081,1193
4/18/2020,Canada,1791,116,31872,1309
