cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.821019998856021;0.6949112551812264;0.7524393612599491;3.8117116689682007
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8143842064338351;0.7059244692147545;0.7561467061158076;4.730157136917114
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8299444402930127;0.6887581833135833;0.7526399981971741;4.734745192527771
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6417979302789263;0.9689541386720532;0.7720682021571348;0.5573105573654175
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7179865440624927;0.9165400467634788;0.8050147252052235;0.4509948492050171
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.813043633641033;0.8733948393492316;0.8420557617539279;5.695240497589111
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.810245266988332;0.8808069126899284;0.843987171032191;4.433518815040588
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8582833683237945;0.8331695555664325;0.8454386264640161;4.526701021194458
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8521126432401059;0.6942377201252581;0.7645926330807112;3.4383099555969237
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8462632695848352;0.7087975039911544;0.7713267914113984;3.453011322021484
